date,value
20190101,0
20190102,0
20190102,0
20190102,0
20190103,0
20190103,0
20190104,0
20190104,0
20190104,0
20190106,0
20190107,0
20190107,0
20190107,0
20190109,0
20190110,0
20190110,0
20190110,0
20190111,0
20190111,0
20190111,0
20190111,0
20190112,0
20190112,0
20190112,0
20190112,0
20190113,0
20190113,0
20190113,0
20190113,3
20190114,0
20190114,0
20190114,0
20190114,0
20190114,0
20190115,0
20190115,0
20190115,0
20190115,0
20190116,0
20190116,0
20190116,0
20190116,0
20190117,0
20190117,0
20190117,0
20190117,0
20190118,13
20190118,8
20190118,8
20190118,0
20190118,10
20190119,0
20190119,0
20190120,0
20190120,13
20190120,0
20190121,0
20190121,0
20190121,0
20190122,0
20190122,0
20190122,0
20190122,0
20190123,0
20190123,0
20190123,0
20190123,0
20190124,0
20190124,0
20190125,0
20190126,0
20190126,0
20190126,0
20190126,0
20190127,0
20190127,0
20190127,0
20190127,0
20190128,0
20190128,0
20190128,0
20190128,0
20190129,0
20190129,0
20190129,0
20190129,0
20190130,0
20190130,0
20190131,0
20190131,5
20190131,8
20190131,3
20190201,0
20190201,0
20190201,0
20190201,0
20190202,0
20190202,0
20190202,0
20190203,0
20190203,0
20190203,0
20190204,0
20190204,0
20190204,0
20190205,0
20190205,0
20190205,0
20190206,0
20190206,0
20190206,0
20190206,0
20190207,0
20190207,0
20190208,0
20190208,0
20190208,0
20190209,0
20190209,0
20190210,0
20190210,0
20190210,0
20190211,0
20190211,0
20190211,3
20190212,0
20190212,0
20190212,0
20190212,0
20190213,15
20190213,25
20190213,28
20190214,0
20190214,0
20190214,0
20190215,0
20190215,0
20190215,0
20190215,0
20190216,0
20190216,0
20190216,0
20190217,0
20190217,0
20190217,0
20190218,0
20190219,0
20190219,0
20190220,0
20190220,0
20190220,0
20190220,0
20190221,20
20190221,38
20190221,43
20190221,46
20190222,0
20190222,0
20190222,0
20190222,0
20190223,0
20190223,0
20190223,0
20190223,0
20190224,0
20190225,0
20190225,0
20190226,0
20190226,0
20190226,0
20190226,0
20190227,0
20190227,0
20190227,0
20190227,0
20190228,0
20190228,8
20190228,0
20190228,3
20190301,10
20190301,13
20190301,20
20190301,3
20190302,114
20190302,102
20190302,97
20190302,0
20190302,89
20190303,0
20190303,0
20190303,0
20190304,89
20190304,76
20190304,102
20190304,76
20190304,76
20190305,0
20190305,0
20190305,0
20190306,0
20190306,0
20190306,0
20190306,0
20190307,0
20190307,0
20190307,0
20190308,0
20190308,0
20190308,0
20190309,0
20190309,0
20190309,0
20190309,0
20190310,0
20190311,0
20190311,0
20190311,0
20190312,0
20190312,0
20190312,0
20190312,0
20190313,0
20190313,0
20190313,0
20190313,0
20190314,0
20190314,0
20190314,0
20190315,0
20190315,0
20190316,0
20190317,0
20190317,0
20190317,0
20190318,0
20190318,0
20190318,0
20190319,0
20190319,0
20190320,0
20190320,0
20190320,0
20190321,0
20190321,0
20190322,0
20190322,0
20190323,0
20190324,0
20190324,0
20190324,0
20190325,0
20190325,0
20190325,0
20190325,0
20190325,0
20190326,0
20190326,0
20190326,0
20190326,0
20190327,0
20190327,0
20190327,0
20190327,0
20190327,0
20190328,0
20190328,0
20190328,0
20190328,0
20190328,0
20190329,0
20190329,0
20190329,0
20190330,0
20190331,0
20190331,0
20190401,0
20190402,0
20190402,0
20190402,0
20190403,0
20190403,0
20190404,0
20190404,0
20190404,0
20190404,0
20190404,0
20190405,0
20190405,0
20190405,0
20190405,0
20190405,0
20190406,0
20190407,0
20190407,0
20190407,0
20190408,0
20190409,0
20190409,0
20190409,0
20190410,0
20190411,0
20190411,0
20190411,0
20190412,0
20190412,0
20190414,0
20190414,0
20190415,0
20190417,0
20190417,0
20190418,0
20190418,0
20190418,0
20190418,0
20190419,0
20190419,0
20190419,0
20190420,0
20190421,0
20190421,0
20190422,0
20190422,0
20190422,0
20190423,0
20190424,0
20190425,0
20190425,0
20190425,0
20190425,0
20190426,0
20190426,0
20190428,0
20190429,0
20190501,0
20190501,0
20190501,0
20190502,0
20190503,0
20190503,0
20190504,0
20190505,0
20190506,0
20190506,0
20190507,0
20190507,0
20190508,0
20190509,0
20190509,0
20190509,0
20190510,0
20190510,0
20190513,0
20190515,0
20190515,0
20190516,0
20190517,0
20190517,0
20190517,0
20190517,0
20190518,0
20190519,0
20190519,0
20190520,0
20190520,0
20190521,0
20190521,0
20190521,0
20190522,0
20190522,0
20190522,0
20190522,0
20190524,0
20190525,0
20190525,0
20190525,0
20190525,0
20190526,0
20190526,0
20190527,0
20190528,0
20190528,0
20190528,0
20190528,0
20190528,0
20190529,0
20190601,0
20190601,0
20190602,0
20190602,0
20190602,0
20190602,0
20190603,0
20190604,0
20190604,0
20190604,0
20190605,0
20190605,0
20190607,0
20190607,0
20190608,0
20190608,0
20190608,0
20190608,0
20190609,0
20190609,0
20190609,0
20190609,0
20190609,0
20190610,0
20190610,0
20190610,0
20190611,0
20190612,0
20190612,0
20190612,0
20190612,0
20190613,0
20190613,0
20190615,0
20190615,0
20190615,0
20190616,0
20190618,0
20190622,0
20190623,0
20190623,0
20190623,0
20190623,0
20190624,0
20190624,0
20190624,0
20190625,0
20190625,0
20190626,0
20190626,0
20190627,0
20190627,0
20190627,0
20190627,0
20190627,0
20190628,0
20190628,0
20190628,0
20190628,0
20190628,0
20190629,0
20190629,0
20190629,0
20190629,0
20190630,0
20190630,0
20190701,0
20190701,0
20190701,0
20190701,0
20190702,0
20190702,0
20190702,0
20190702,0
20190702,0
20190703,0
20190703,0
20190704,0
20190704,0
20190704,0
20190705,0
20190705,0
20190705,0
20190705,0
20190705,0
20190706,0
20190706,0
20190706,0
20190706,0
20190707,0
20190707,0
20190708,0
20190709,0
20190709,0
20190710,0
20190710,0
20190711,0
20190711,0
20190711,0
20190712,0
20190713,0
20190713,0
20190713,0
20190713,0
20190714,0
20190714,0
20190714,0
20190714,0
20190715,0
20190715,0
20190715,0
20190715,0
20190716,0
20190716,0
20190716,0
20190716,0
20190717,0
20190717,0
20190717,0
20190717,0
20190717,0
20190718,0
20190719,0
20190720,0
20190720,0
20190720,0
20190720,0
20190721,0
